"Activate","Name","auto_generated_guid","Technique","Path","Description"
"True","Hijack Execution Flow: DLL Search Order","a1000038-0001-0001-0001-000000000038","T1574.001","T1574.001","Drop fake DLL next to legit binary"
"True","Credentials in Files (search)","a1000039-0001-0001-0001-000000000039","T1552.001","T1552.001","findstr /si password *.config"
"True","Credentials in Registry","a1000040-0001-0001-0001-000000000040","T1552.002","T1552.002","reg query password keys"
"True","Unsecured Credentials: Bash History","a1000041-0001-0001-0001-000000000041","T1552.003","T1552.003","WSL bash_history sniff"
"True","OS Credential Dumping: LSASS (PowerShell ONE-SHOT)","a1000042-0001-0001-0001-000000000042","T1003.001","T1003.001","comsvcs.dll MiniDump method (one-shot; high-noise so paced)"
"True","OS Credential Dumping: Security Account Manager","a1000043-0001-0001-0001-000000000043","T1003.002","T1003.002","reg save HKLM\SAM"
"True","Steal or Forge Kerberos Tickets: Kerberoasting","a1000044-0001-0001-0001-000000000044","T1558.003","T1558.003","Request SPN ticket"
"True","T1110.001: Brute Force Password","a1000045-0001-0001-0001-000000000045","T1110.001","T1110.001","5 wrong RDP logins"
"True","Valid Accounts: Local","a1000046-0001-0001-0001-000000000046","T1078.003","T1078.003","Login as local test user"
"True","Application Layer Protocol: HTTPS","a1000047-0001-0001-0001-000000000047","T1071.001","T1071.001","cURL to internal Splunk port (sim C2)"
"True","Application Layer Protocol: DNS","a1000048-0001-0001-0001-000000000048","T1071.004","T1071.004","nslookup of long-name domain"
"True","Non-Standard Port","a1000049-0001-0001-0001-000000000049","T1571","T1571","TCP to internal IP on port 8443"
"True","Encrypted Channel: Asymmetric","a1000050-0001-0001-0001-000000000050","T1573.002","T1573.002","openssl s_client to internal target"
"True","Native API: CreateProcess","a1000051-0001-0001-0001-000000000051","T1106","T1106","CreateProcessA wrapper"
"True","Inter-Process Comms: COM","a1000052-0001-0001-0001-000000000052","T1559.001","T1559.001","COM activation of office app"
"True","Inter-Process Comms: DDE","a1000053-0001-0001-0001-000000000053","T1559.002","T1559.002","DDE Excel link launch"
"True","Signed Binary Proxy: Rundll32","a1000054-0001-0001-0001-000000000054","T1218.011","T1218.011","rundll32 javascript:"
"True","Signed Binary Proxy: Regsvr32","a1000055-0001-0001-0001-000000000055","T1218.010","T1218.010","regsvr32 /s /n /u /i:test.sct"
"True","Signed Binary Proxy: Mshta","a1000056-0001-0001-0001-000000000056","T1218.005","T1218.005","mshta vbscript:"
"True","Signed Binary Proxy: Msiexec","a1000057-0001-0001-0001-000000000057","T1218.007","T1218.007","msiexec /quiet /i fake.msi"
"True","Signed Binary Proxy: Installutil","a1000058-0001-0001-0001-000000000058","T1218.004","T1218.004","installutil .NET payload"
"True","Application Window Discovery","a1000059-0001-0001-0001-000000000059","T1010","T1010","Get-Process | window titles"
"True","Clipboard Data","a1000060-0001-0001-0001-000000000060","T1115","T1115","Get-Clipboard"
"True","Screen Capture","a1000061-0001-0001-0001-000000000061","T1113","T1113","Take screenshot to %temp%"
"True","Input Capture: Keylogger (POC, 5s only)","a1000062-0001-0001-0001-000000000062","T1056.001","T1056.001","SetWindowsHookEx 5-second capture"
"True","WMI: Win32_Process Create","a1000063-0001-0001-0001-000000000063","T1047","T1047","wmic process call create"
"True","WMI: Event Subscription","a1000064-0001-0001-0001-000000000064","T1546.003","T1546.003","WMI permanent event consumer"
"True","Modify Registry: Hide File","a1000065-0001-0001-0001-000000000065","T1112","T1112","Set HideFileExt=1"
"True","Modify Registry: Disable Defender RT","a1000066-0001-0001-0001-000000000066","T1562.001","T1562.001","Set DisableRealtimeMonitoring (denied if tamper protect — generates evt)"
"True","Impair Defenses: Disable Windows Firewall","a1000067-0001-0001-0001-000000000067","T1562.004","T1562.004","netsh advfirewall set off (denied; generates evt)"
"True","Impair Defenses: Modify System Image","a1000068-0001-0001-0001-000000000068","T1562.006","T1562.006","BCDEdit /set testsigning"
"True","Group Policy Discovery","a1000069-0001-0001-0001-000000000069","T1615","T1615","gpresult /r"
"True","BITS Jobs","a1000070-0001-0001-0001-000000000070","T1197","T1197","bitsadmin /create + /addfile (internal target)"
"True","Service Discovery (PowerShell)","a1000071-0001-0001-0001-000000000071","T1007","T1007","Get-Service | Format-Table"
"True","Network Sniffing: tcpdump on WSL","a1000072-0001-0001-0001-000000000072","T1040","T1040","WSL tcpdump -c 10"
# Intentionally NOT included (destructive or disruptive):
#   T1485 Data Destruction, T1486 Data Encrypted for Impact,
#   T1490 Inhibit System Recovery, T1491 Defacement,
#   T1561 Disk Wipe, T1565 Data Manipulation,
#   T1529 System Shutdown/Reboot, T1499 Endpoint DoS,
#   T1496 Resource Hijacking
